0.803649 0.802031 0.797183 0.789126 0.777891 0.763524 0.746082 0.725636 0.702268 0.676073 0.647155 0.615631 0.581628 0.545283 0.506743 0.466162 0.423704 0.37954 0.333848 0.286811 0.23862 0.189467 0.139552 0.089075 0.0382392 -0.0127507 -0.0636891 -0.114371 -0.164593 -0.214151 -0.262848 -0.310486 -0.356874 -0.401824 -0.445157 -0.486698 -0.526278 -0.56374 -0.598931 -0.631711 -0.661947 -0.689518 -0.714312 -0.73623 -0.755183 -0.771096 -0.783903 -0.793554 -0.80001 -0.803244 -0.803244 -0.80001 -0.793554 -0.783903 -0.771096 -0.755183 -0.73623 -0.714312 -0.689518 -0.661947 -0.631711 -0.598931 -0.56374 -0.526278 -0.486698 -0.445157 -0.401824 -0.356874 -0.310486 -0.262848 -0.214151 -0.164593 -0.114371 -0.0636891 -0.0127507 0.0382392 0.089075 0.139552 0.189467 0.23862 0.286811 0.333848 0.37954 0.423704 0.466162 0.506743 0.545283 0.581628 0.615631 0.647155 0.676073 0.702268 0.725636 0.746082 0.763524 0.777891 0.789126 0.797183 0.802031 0.803649 || 10 
0.764502 0.762963 0.758352 0.750687 0.739999 0.726331 0.709739 0.690289 0.66806 0.64314 0.615631 0.585643 0.553296 0.518722 0.482059 0.443455 0.403065 0.361052 0.317586 0.27284 0.226996 0.180238 0.132754 0.084736 0.0363765 -0.0121296 -0.0605868 -0.1088 -0.156575 -0.20372 -0.250044 -0.295362 -0.33949 -0.382251 -0.423473 -0.46299 -0.500642 -0.536279 -0.569756 -0.600939 -0.629703 -0.65593 -0.679517 -0.700367 -0.718397 -0.733534 -0.745718 -0.754899 -0.76104 -0.764117 -0.764117 -0.76104 -0.754899 -0.745718 -0.733534 -0.718397 -0.700367 -0.679517 -0.65593 -0.629703 -0.600939 -0.569756 -0.536279 -0.500642 -0.46299 -0.423473 -0.382251 -0.33949 -0.295362 -0.250044 -0.20372 -0.156575 -0.1088 -0.0605868 -0.0121296 0.0363765 0.084736 0.132754 0.180238 0.226996 0.27284 0.317586 0.361052 0.403065 0.443455 0.482059 0.518722 0.553296 0.585643 0.615631 0.64314 0.66806 0.690289 0.709739 0.726331 0.739999 0.750687 0.758352 0.762963 0.764502 || 11 
0.722277 0.720823 0.716466 0.709224 0.699127 0.686214 0.670539 0.652163 0.631161 0.607618 0.581628 0.553296 0.522736 0.490072 0.455434 0.418962 0.380803 0.341111 0.300045 0.257771 0.214459 0.170283 0.125422 0.0800559 0.0343673 -0.0114596 -0.0572404 -0.102791 -0.147927 -0.192468 -0.236234 -0.279048 -0.320739 -0.361138 -0.400084 -0.437418 -0.472991 -0.506659 -0.538287 -0.567748 -0.594923 -0.619702 -0.641985 -0.661684 -0.678718 -0.69302 -0.70453 -0.713204 -0.719006 -0.721913 -0.721913 -0.719006 -0.713204 -0.70453 -0.69302 -0.678718 -0.661684 -0.641985 -0.619702 -0.594923 -0.567748 -0.538287 -0.506659 -0.472991 -0.437418 -0.400084 -0.361138 -0.320739 -0.279048 -0.236234 -0.192468 -0.147927 -0.102791 -0.0572404 -0.0114596 0.0343673 0.0800559 0.125422 0.170283 0.214459 0.257771 0.300045 0.341111 0.380803 0.418962 0.455434 0.490072 0.522736 0.553296 0.581628 0.607618 0.631161 0.652163 0.670539 0.686214 0.699127 0.709224 0.716466 0.720823 0.722277 || 12 
0.677143 0.67578 0.671696 0.664906 0.65544 0.643334 0.628638 0.611411 0.591721 0.569649 0.545283 0.518722 0.490072 0.459448 0.426975 0.392782 0.357007 0.319795 0.281296 0.241663 0.201058 0.159643 0.117585 0.0750534 0.0322198 -0.0107435 -0.0536636 -0.0963675 -0.138683 -0.180441 -0.221472 -0.261611 -0.300697 -0.338572 -0.375083 -0.410085 -0.443435 -0.474999 -0.504651 -0.532271 -0.557747 -0.580978 -0.601869 -0.620337 -0.636307 -0.649714 -0.660506 -0.668638 -0.674077 -0.676802 -0.676802 -0.674077 -0.668638 -0.660506 -0.649714 -0.636307 -0.620337 -0.601869 -0.580978 -0.557747 -0.532271 -0.504651 -0.474999 -0.443435 -0.410085 -0.375083 -0.338572 -0.300697 -0.261611 -0.221472 -0.180441 -0.138683 -0.0963675 -0.0536636 -0.0107435 0.0322198 0.0750534 0.117585 0.159643 0.201058 0.241663 0.281296 0.319795 0.357007 0.392782 0.426975 0.459448 0.490072 0.518722 0.545283 0.569649 0.591721 0.611411 0.628638 0.643334 0.65544 0.664906 0.671696 0.67578 0.677143 || 13 
0.629283 0.628016 0.62422 0.617911 0.609114 0.597864 0.584206 0.568196 0.549899 0.529387 0.506743 0.482059 0.455434 0.426975 0.396796 0.36502 0.331774 0.297192 0.261414 0.224582 0.186847 0.148359 0.109274 0.0697486 0.0299425 -0.00998418 -0.0498707 -0.0895563 -0.128881 -0.167687 -0.205818 -0.24312 -0.279444 -0.314642 -0.348573 -0.3811 -0.412093 -0.441426 -0.468982 -0.49465 -0.518326 -0.539915 -0.559329 -0.576492 -0.591333 -0.603793 -0.613822 -0.621379 -0.626434 -0.628966 -0.628966 -0.626434 -0.621379 -0.613822 -0.603793 -0.591333 -0.576492 -0.559329 -0.539915 -0.518326 -0.49465 -0.468982 -0.441426 -0.412093 -0.3811 -0.348573 -0.314642 -0.279444 -0.24312 -0.205818 -0.167687 -0.128881 -0.0895563 -0.0498707 -0.00998418 0.0299425 0.0697486 0.109274 0.148359 0.186847 0.224582 0.261414 0.297192 0.331774 0.36502 0.396796 0.426975 0.455434 0.482059 0.506743 0.529387 0.549899 0.568196 0.584206 0.597864 0.609114 0.617911 0.62422 0.628016 0.629283 || 14 
0.578889 0.577724 0.574232 0.568428 0.560335 0.549986 0.537422 0.522694 0.505862 0.486992 0.466162 0.443455 0.418962 0.392782 0.36502 0.335789 0.305205 0.273393 0.240479 0.206598 0.171884 0.136478 0.100523 0.064163 0.0275447 -0.00918463 -0.0458769 -0.0823845 -0.11856 -0.154259 -0.189336 -0.223651 -0.257065 -0.289445 -0.320658 -0.350581 -0.379092 -0.406076 -0.431425 -0.455038 -0.476817 -0.496677 -0.514537 -0.530325 -0.543978 -0.55544 -0.564666 -0.571618 -0.576268 -0.578598 -0.578598 -0.576268 -0.571618 -0.564666 -0.55544 -0.543978 -0.530325 -0.514537 -0.496677 -0.476817 -0.455038 -0.431425 -0.406076 -0.379092 -0.350581 -0.320658 -0.289445 -0.257065 -0.223651 -0.189336 -0.154259 -0.11856 -0.0823845 -0.0458769 -0.00918463 0.0275447 0.064163 0.100523 0.136478 0.171884 0.206598 0.240479 0.273393 0.305205 0.335789 0.36502 0.392782 0.418962 0.443455 0.466162 0.486992 0.505862 0.522694 0.537422 0.549986 0.560335 0.568428 0.574232 0.577724 0.578889 || 15 
0.526164 0.525105 0.521931 0.516656 0.5093 0.499893 0.488474 0.475087 0.459788 0.442637 0.423704 0.403065 0.380803 0.357007 0.331774 0.305205 0.277407 0.248492 0.218576 0.187781 0.156229 0.124048 0.0913674 0.0583191 0.0250359 -0.0083481 -0.0416985 -0.0748809 -0.107762 -0.140209 -0.172091 -0.203281 -0.233652 -0.263082 -0.291453 -0.31865 -0.344564 -0.369091 -0.392131 -0.413593 -0.433389 -0.45144 -0.467673 -0.482023 -0.494432 -0.504851 -0.513236 -0.519555 -0.523781 -0.525899 -0.525899 -0.523781 -0.519555 -0.513236 -0.504851 -0.494432 -0.482023 -0.467673 -0.45144 -0.433389 -0.413593 -0.392131 -0.369091 -0.344564 -0.31865 -0.291453 -0.263082 -0.233652 -0.203281 -0.172091 -0.140209 -0.107762 -0.0748809 -0.0416985 -0.0083481 0.0250359 0.0583191 0.0913674 0.124048 0.156229 0.187781 0.218576 0.248492 0.277407 0.305205 0.331774 0.357007 0.380803 0.403065 0.423704 0.442637 0.459788 0.475087 0.488474 0.499893 0.5093 0.516656 0.521931 0.525105 0.526164 || 16 
0.47132 0.470371 0.467528 0.462803 0.456214 0.447788 0.437559 0.425568 0.411863 0.3965 0.37954 0.361052 0.341111 0.319795 0.297192 0.273393 0.248492 0.222591 0.195794 0.168208 0.139945 0.111118 0.0818439 0.0522403 0.0224263 -0.00747795 -0.0373521 -0.0670759 -0.0965295 -0.125595 -0.154154 -0.182092 -0.209298 -0.23566 -0.261074 -0.285436 -0.308649 -0.330619 -0.351258 -0.370483 -0.388215 -0.404385 -0.418926 -0.43178 -0.442896 -0.452228 -0.45974 -0.4654 -0.469186 -0.471083 -0.471083 -0.469186 -0.4654 -0.45974 -0.452228 -0.442896 -0.43178 -0.418926 -0.404385 -0.388215 -0.370483 -0.351258 -0.330619 -0.308649 -0.285436 -0.261074 -0.23566 -0.209298 -0.182092 -0.154154 -0.125595 -0.0965295 -0.0670759 -0.0373521 -0.00747795 0.0224263 0.0522403 0.0818439 0.111118 0.139945 0.168208 0.195794 0.222591 0.248492 0.273393 0.297192 0.319795 0.341111 0.361052 0.37954 0.3965 0.411863 0.425568 0.437559 0.447788 0.456214 0.462803 0.467528 0.470371 0.47132 || 17 
0.414579 0.413744 0.411243 0.407087 0.401291 0.393879 0.384882 0.374334 0.362279 0.348766 0.333848 0.317586 0.300045 0.281296 0.261414 0.240479 0.218576 0.195794 0.172222 0.147957 0.123097 0.0977406 0.0719908 0.0459512 0.0197264 -0.00657769 -0.0328553 -0.0590007 -0.0849085 -0.110474 -0.135595 -0.16017 -0.184101 -0.207289 -0.229643 -0.251073 -0.271491 -0.290817 -0.308971 -0.325881 -0.341479 -0.355702 -0.368492 -0.379799 -0.389576 -0.397785 -0.404392 -0.409371 -0.412701 -0.41437 -0.41437 -0.412701 -0.409371 -0.404392 -0.397785 -0.389576 -0.379799 -0.368492 -0.355702 -0.341479 -0.325881 -0.308971 -0.290817 -0.271491 -0.251073 -0.229643 -0.207289 -0.184101 -0.16017 -0.135595 -0.110474 -0.0849085 -0.0590007 -0.0328553 -0.00657769 0.0197264 0.0459512 0.0719908 0.0977406 0.123097 0.147957 0.172222 0.195794 0.218576 0.240479 0.261414 0.281296 0.300045 0.317586 0.333848 0.348766 0.362279 0.374334 0.384882 0.393879 0.401291 0.407087 0.411243 0.413744 0.414579 || 18 
0.356168 0.355451 0.353302 0.349731 0.344752 0.338385 0.330655 0.321593 0.311237 0.299627 0.286811 0.27284 0.257771 0.241663 0.224582 0.206598 0.187781 0.168208 0.147957 0.127111 0.105753 0.0839697 0.0618479 0.039477 0.0169471 -0.00565094 -0.0282263 -0.0506879 -0.0729455 -0.0949094 -0.116491 -0.137604 -0.158162 -0.178084 -0.197288 -0.215699 -0.23324 -0.249843 -0.265439 -0.279967 -0.293367 -0.305586 -0.316574 -0.326288 -0.334688 -0.34174 -0.347417 -0.351694 -0.354555 -0.355988 -0.355988 -0.354555 -0.351694 -0.347417 -0.34174 -0.334688 -0.326288 -0.316574 -0.305586 -0.293367 -0.279967 -0.265439 -0.249843 -0.23324 -0.215699 -0.197288 -0.178084 -0.158162 -0.137604 -0.116491 -0.0949094 -0.0729455 -0.0506879 -0.0282263 -0.00565094 0.0169471 0.039477 0.0618479 0.0839697 0.105753 0.127111 0.147957 0.168208 0.187781 0.206598 0.224582 0.241663 0.257771 0.27284 0.286811 0.299627 0.311237 0.321593 0.330655 0.338385 0.344752 0.349731 0.353302 0.355451 0.356168 || 19 
